               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.077473,            0.018771,                   0,             0.70858,             0.68767,             0.71586,             0.34655,             0.04372,           0.0075452,                   0,            0.070144,           0.0033174,           0.0033174
                   1,            0.048576,              0.0131,                   0,             0.82655,             0.81501,             0.84384,             0.39637,            0.041125,           0.0051641,                   0,            0.040078,           0.0065849,           0.0065849
                   2,            0.043232,             0.01004,                   0,             0.89986,             0.83914,             0.90766,             0.53033,            0.035705,           0.0042454,                   0,           0.0099459,           0.0097864,           0.0097864
                   3,            0.038796,           0.0082041,                   0,             0.91409,             0.86863,             0.91796,             0.49698,            0.032743,            0.003903,                   0,            0.009703,            0.009703,            0.009703
                   4,             0.03463,            0.007265,                   0,             0.94261,              0.8941,             0.95013,             0.64174,             0.02556,           0.0033663,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.032299,           0.0068742,                   0,             0.96273,             0.91555,             0.96507,               0.617,            0.026169,           0.0032069,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.030696,            0.006502,                   0,             0.94986,             0.91823,             0.95997,             0.64266,            0.024957,           0.0031817,                   0,            0.009505,            0.009505,            0.009505
                   7,             0.02942,           0.0063391,                   0,             0.96615,             0.91831,             0.96568,             0.70291,            0.021654,           0.0029202,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.028344,           0.0061213,                   0,             0.95809,             0.91933,             0.96813,             0.72136,            0.020929,           0.0029142,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.026853,           0.0058434,                   0,             0.95049,             0.95221,             0.97215,             0.70314,            0.021062,           0.0028657,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.026575,           0.0057874,                   0,             0.94371,             0.94236,             0.97038,             0.72077,             0.02095,           0.0027922,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.025871,           0.0055917,                   0,             0.96066,             0.95442,              0.9761,             0.71935,            0.020477,           0.0027288,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.024641,           0.0055501,                   0,             0.95075,             0.94906,             0.97435,             0.74161,            0.019141,            0.002629,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.024903,           0.0053116,                   0,              0.9626,             0.95308,             0.97512,             0.71164,            0.020457,           0.0026748,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.023908,           0.0054795,                   0,              0.9638,             0.92359,             0.97159,             0.74759,            0.018503,            0.002731,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.023212,           0.0052307,                   0,             0.96486,             0.94236,             0.97625,             0.74116,            0.018636,           0.0025685,                   0,            0.008614,            0.008614,            0.008614
                  16,             0.02338,           0.0051467,                   0,             0.95822,             0.95306,             0.97613,             0.75747,            0.018577,           0.0025851,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.023159,           0.0052171,                   0,             0.96196,             0.94102,             0.98018,             0.73524,            0.019686,           0.0026205,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.022965,            0.004994,                   0,             0.96681,             0.93703,             0.97409,             0.75258,             0.01878,           0.0025665,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.022693,           0.0051273,                   0,             0.96628,             0.96034,             0.98514,             0.75316,            0.018211,           0.0025337,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.021942,           0.0050159,                   0,             0.96409,             0.95174,             0.98236,             0.76061,            0.018317,           0.0025289,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.021654,            0.005043,                   0,               0.974,             0.95405,             0.97962,              0.7626,            0.018226,            0.002455,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.021675,           0.0050084,                   0,             0.96322,             0.94772,             0.98802,             0.75267,             0.01809,           0.0024573,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.021214,            0.004874,                   0,             0.95965,             0.95979,             0.98508,             0.77045,            0.017051,           0.0024069,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.020925,           0.0049204,                   0,             0.97664,             0.95308,             0.98254,             0.76246,            0.017961,           0.0024347,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.020534,           0.0047691,                   0,             0.97423,             0.95174,             0.98424,              0.7739,            0.017302,           0.0023861,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.020837,            0.004809,                   0,             0.96981,             0.95442,             0.98141,             0.76733,            0.017633,            0.002385,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.020534,           0.0047942,                   0,             0.97136,             0.95462,             0.97743,               0.778,            0.017618,           0.0024007,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.020694,           0.0046519,                   0,             0.97392,              0.9513,             0.98171,             0.77813,            0.017555,           0.0024393,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.020351,           0.0047271,                   0,             0.96216,              0.9543,             0.97953,              0.7725,            0.017402,            0.002381,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.020188,           0.0047409,                   0,             0.96785,              0.9571,             0.98321,             0.77555,            0.016954,            0.002363,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.019361,           0.0045863,                   0,              0.9696,             0.96113,               0.989,             0.78316,            0.016423,           0.0023137,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.019749,           0.0045694,                   0,             0.97546,             0.95912,             0.98686,             0.77411,            0.017114,           0.0023311,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.019687,             0.00454,                   0,             0.97671,             0.95555,             0.98329,             0.78299,            0.016309,           0.0023129,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.019252,           0.0045708,                   0,             0.96189,             0.96917,             0.98745,             0.78782,            0.016599,           0.0022975,                   0,            0.006733,            0.006733,            0.006733
                  35,             0.01921,           0.0043799,                   0,             0.97152,             0.96029,             0.98932,             0.78257,            0.016614,           0.0022846,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.018951,           0.0045242,                   0,             0.96652,             0.96381,              0.9795,             0.78567,            0.016343,           0.0022467,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.018608,            0.004404,                   0,             0.96019,             0.96996,              0.9804,              0.7846,            0.016529,           0.0022943,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.018711,           0.0043279,                   0,             0.97675,             0.95749,              0.9858,             0.79057,            0.016364,           0.0022792,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.018198,           0.0043517,                   0,             0.97164,             0.96445,             0.98219,             0.79021,            0.016042,           0.0022476,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.018442,           0.0042757,                   0,             0.96474,             0.95979,             0.98592,             0.79095,            0.015873,           0.0022967,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.018073,           0.0043134,                   0,             0.97196,             0.96917,             0.98292,             0.79574,            0.016391,           0.0022697,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.018196,           0.0042985,                   0,             0.97055,             0.96649,             0.98442,             0.79231,            0.016494,           0.0022709,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.018079,           0.0042776,                   0,             0.96994,             0.96649,             0.98556,             0.79923,            0.016297,           0.0022454,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.017777,           0.0042482,                   0,              0.9665,              0.9668,             0.98431,             0.79535,            0.015989,            0.002258,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.017713,           0.0042203,                   0,             0.96906,             0.96557,             0.98364,              0.7966,            0.015742,            0.002209,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.017634,           0.0042239,                   0,             0.97412,             0.95845,             0.98573,              0.7978,            0.015875,           0.0022073,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.017168,           0.0041192,                   0,             0.97153,             0.96045,             0.98411,             0.79388,            0.016056,           0.0022872,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.017074,           0.0041459,                   0,             0.97595,              0.9571,             0.98377,             0.79302,            0.016217,           0.0022586,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.017387,           0.0041665,                   0,             0.96731,             0.96113,             0.98125,             0.79671,            0.016262,           0.0022514,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.016892,           0.0040809,                   0,             0.97142,             0.95677,             0.98063,             0.79532,            0.015729,            0.002271,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.016584,           0.0040341,                   0,             0.97028,             0.96278,             0.98434,             0.79977,            0.015946,           0.0022752,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.016761,           0.0040233,                   0,             0.97034,             0.96469,              0.9847,             0.79695,            0.015983,           0.0022549,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.016689,           0.0040989,                   0,             0.96506,             0.96251,             0.98358,             0.79601,            0.015735,           0.0022716,                   0,            0.004852,            0.004852,            0.004852
